,City,Latitude,MaxTemp,Humidity,Cloudiness,WindSpeed,Date
0,kupang,-10.16,80.6,88,75,9.17,1554499800
1,jiroft,,,,,,
2,geraldton,49.72,35.6,74,90,3.36,1554501600
3,sur,22.57,82.11,76,76,5.39,1554503543
4,ribeira grande,38.52,61.41,95,20,18.81,1554503543
5,cape town,-33.93,61,72,0,9.17,1554503408
6,vila velha,-3.71,82.4,74,20,4.7,1554503291
7,hamilton,32.3,68,60,40,19.46,1554502692
8,new norfolk,-42.78,61,55,40,9.17,1554503534
9,barrow,-38.31,57.9,62,0,9.08,1554503544
10,sangar,63.92,27.21,69,44,1.03,1554503544
11,khatanga,71.98,13.17,76,0,17.69,1554503545
12,tadine,-21.55,78.96,94,0,14.9,1554503545
13,albany,42.65,34,96,90,5.82,1554503537
14,kaitangata,-46.28,48.99,70,0,1.99,1554503464
15,manggar,-2.88,79.77,100,80,5.17,1554503546
16,jamestown,-33.21,52.84,95,20,7.2,1554503392
17,chuy,-33.69,66,82,8,17.25,1554503546
18,howard springs,-12.5,82.99,94,75,4.7,1554503480
19,butaritari,3.07,80.94,100,88,14.23,1554503547
20,east london,-33.02,64.56,100,92,6.96,1554503529
21,teguldet,57.31,15.42,63,0,2.48,1554503547
22,paradwip,,,,,,
23,illoqqortoormiut,,,,,,
24,yeppoon,-23.13,71.6,68,40,9.17,1554499800
25,busselton,-33.64,46,58,0,6.62,1554503513
26,puerto ayora,-0.74,84.2,70,40,13.87,1554503428
27,taolanaro,,,,,,
28,vaini,15.34,69.87,95,80,1.59,1554503548
29,shizunai,42.33,36.57,89,88,10.42,1554503548
30,hermanus,-34.42,57.99,85,0,4,1554503534
31,soligalich,59.08,18.03,62,0,3.71,1554503549
32,samandag,,,,,,
33,kapaa,22.08,78.8,61,40,6.93,1554503504
34,armacao dos buzios,,,,,,
35,lazaro cardenas,28.39,79,16,75,17.47,1554503336
36,bluff,-23.58,79.05,48,0,11.1,1554503550
37,morant bay,17.88,82.4,54,75,13.87,1554501600
38,ayoquezco,,,,,,
39,bengkulu,,,,,,
40,porto novo,-23.68,82.4,65,40,3.36,1554501600
41,sentyabrskiy,,,,,,
42,port alfred,-33.59,60.01,93,92,3,1554503532
43,camacupa,-12.02,61.95,89,24,2.59,1554503551
44,tuktoyaktuk,69.44,-2.21,84,5,6.93,1554498000
45,asau,,,,,,
46,dudinka,69.41,22.35,92,68,18.59,1554503552
47,bargal,,,,,,
48,san cristobal,-0.39,68,87,75,3.36,1554503465
49,moose factory,51.26,35.6,89,90,10.29,1554500820
50,georgetown,6.8,84.2,74,20,13.87,1554498000
51,tiksi,71.64,18.21,84,68,3.71,1554503553
52,avera,33.19,77,64,40,5.82,1554503436
